Development,Claim Lag,Claim,Origin
2019Q1,0,1029003000,2019Q1
2019Q2,1,875800800,2019Q1
2019Q3,2,600092500,2019Q1
2019Q4,3,338311900,2019Q1
2020Q1,4,349065900,2019Q1
2020Q2,5,235203500,2019Q1
2020Q3,6,172334500,2019Q1
2020Q4,7,95587600,2019Q1
2021Q1,8,79922100,2019Q1
2021Q2,9,56150400,2019Q1
2021Q3,10,50335200,2019Q1
2021Q4,11,33017900,2019Q1
2022Q1,12,25598200,2019Q1
2022Q2,13,16090100,2019Q1
2022Q3,14,10650100,2019Q1
2022Q4,15,8870200,2019Q1
2023Q1,16,5203700,2019Q1
2023Q2,17,5177100,2019Q1
2019Q2,0,1171916500,2019Q2
2019Q3,1,726470200,2019Q2
2019Q4,2,665577500,2019Q2
2020Q1,3,470687300,2019Q2
2020Q2,4,328234200,2019Q2
2020Q3,5,188269700,2019Q2
2020Q4,6,153660800,2019Q2
2021Q1,7,92450300,2019Q2
2021Q2,8,70761800,2019Q2
2021Q3,9,63995400,2019Q2
2021Q4,10,47539100,2019Q2
2022Q1,11,37321900,2019Q2
2022Q2,12,21241000,2019Q2
2022Q3,13,15720100,2019Q2
2022Q4,14,11892400,2019Q2
2023Q1,15,7656200,2019Q2
2023Q2,16,5408300,2019Q2
2019Q3,0,948486000,2019Q3
2019Q4,1,825724500,2019Q3
2020Q1,2,547346700,2019Q3
2020Q2,3,461958500,2019Q3
2020Q3,4,319770100,2019Q3
2020Q4,5,198844600,2019Q3
2021Q1,6,176854500,2019Q3
2021Q2,7,127176000,2019Q3
2021Q3,8,78609300,2019Q3
2021Q4,9,54711500,2019Q3
2022Q1,10,46572000,2019Q3
2022Q2,11,26975900,2019Q3
2022Q3,12,20139200,2019Q3
2022Q4,13,13344100,2019Q3
2023Q1,14,13452800,2019Q3
2023Q2,15,9340900,2019Q3
2019Q4,0,1279515300,2019Q4
2020Q1,1,821592000,2019Q4
2020Q2,2,623244800,2019Q4
2020Q3,3,376995900,2019Q4
2020Q4,4,270522700,2019Q4
2021Q1,5,247894600,2019Q4
2021Q2,6,166698300,2019Q4
2021Q3,7,125659300,2019Q4
2021Q4,8,98353100,2019Q4
2022Q1,9,68053900,2019Q4
2022Q2,10,47895400,2019Q4
2022Q3,11,34855800,2019Q4
2022Q4,12,22786100,2019Q4
2023Q1,13,14584500,2019Q4
2023Q2,14,12707300,2019Q4
2020Q1,0,1035595400,2020Q1
2020Q2,1,890896300,2020Q1
2020Q3,2,506478700,2020Q1
2020Q4,3,338863500,2020Q1
2021Q1,4,272734300,2020Q1
2021Q2,5,199105700,2020Q1
2021Q3,6,167798200,2020Q1
2021Q4,7,117045500,2020Q1
2022Q1,8,92533200,2020Q1
2022Q2,9,64306600,2020Q1
2022Q3,10,42175600,2020Q1
2022Q4,11,35813700,2020Q1
2023Q1,12,20026300,2020Q1
2023Q2,13,13574000,2020Q1
2020Q2,0,1174601400,2020Q2
2020Q3,1,771324700,2020Q2
2020Q4,2,491706500,2020Q2
2021Q1,3,413184300,2020Q2
2021Q2,4,258198300,2020Q2
2021Q3,5,234879600,2020Q2
2021Q4,6,154733300,2020Q2
2022Q1,7,109367600,2020Q2
2022Q2,8,76765200,2020Q2
2022Q3,9,63705900,2020Q2
2022Q4,10,41538200,2020Q2
2023Q1,11,26661600,2020Q2
2023Q2,12,19641800,2020Q2
2020Q3,0,1537800600,2020Q3
2020Q4,1,1036481000,2020Q3
2021Q1,2,631692100,2020Q3
2021Q2,3,601079900,2020Q3
2021Q3,4,408480800,2020Q3
